,IPA,beh-oe-ji,jyutping,other,pinyin,quoc ngu,romaja,romaji
ɻ,-0.00021316539972691582,-3.618740537984723e-05,-0.00021267527221081477,0.00037266954496148583,-1.5650097522018158e-06,-2.768830719730748e-07,-5.899817864373352e-06,-3.2468892242539185e-05
ɿ,0.0023638679073253385,-0.00022225696177516512,-0.0004982145112712789,-0.00012770964370542123,-3.417184517965602e-06,1.952116074021784e-06,-8.414903787368473e-06,-0.0004068919158308005
ʁ,0.0002776381812176126,-3.643908491371802e-05,-0.0008184740721036512,-0.00013614582511127637,-2.712843884215298e-06,1.4041169311874318e-06,5.998900086528131e-06,-5.788649824203542e-05
ʂ,-0.0006607425905944286,-0.0002984133795272989,-0.0016173033180859515,0.0019446630708538995,-1.2716848815450048e-05,-1.8800515587667391e-06,-4.684481758867471e-05,-1.9562707557396144e-05
ʃ,0.0004581953638897248,-8.856281927175899e-05,-0.00015466279784411726,2.1372565585243795e-05,-1.1926084140128696e-05,-7.414700601612783e-07,-8.200262833658217e-06,-0.001129175613178013
ʅ,0.00044398286062184223,-2.6393443477945037e-05,-0.00012040880428884415,1.1830655071444048e-06,-1.916649149901713e-06,3.902464107906482e-07,-1.3658835021661315e-06,-0.0002727197134442836
ʈ,5.103395111390755e-05,-8.980430670952423e-06,-2.2578398404642667e-05,-2.8601016203341667e-05,-5.20895769382613e-07,3.7027038871259127e-07,3.2080446055623756e-06,-2.1539693016311897e-05
ʉ,3.9947723036510454e-05,-1.548740395312817e-05,-1.5079248218146985e-05,-1.2897081475275984e-05,-5.589076212981516e-07,-6.378962445880321e-08,-8.027977914241131e-07,-1.3211868092503146e-06
ʊ,-0.0010977575873107996,-0.00029011307751045844,-0.00015804676942686926,0.0021778417354394943,-5.648023861484753e-06,-1.6196520508403095e-06,-4.222891510790697e-05,5.999413118396827e-05
ʋ,6.417398498448514e-05,-1.1379945205028517e-05,-0.00014454459908060024,-1.9632717913780515e-05,-7.412005206343582e-07,-1.816688097695787e-07,-9.91479659198941e-07,-1.5307469114724773e-06
ʌ,4.8091068452736864e-05,-4.460919837365852e-06,-0.00019728233787902184,-1.9521544521333143e-05,-4.5007666465199703e-07,-1.1411004107650211e-07,-6.891630991080587e-07,-1.2176809687356094e-06
ʏ,1.621247798322891e-05,-6.667987954527556e-06,-6.261404043134302e-06,-5.396405585831181e-06,-2.0701824846487075e-07,-2.7000532200736367e-08,-3.2688948507894196e-07,4.832874240250317e-07
ʐ,0.00015466333696898015,-3.7097538797375545e-05,-0.0009206530035207949,4.840913430694887e-05,-2.7564123557552396e-06,-8.284153058614303e-07,-4.8945996573608475e-06,1.063007125074236e-05
ʑ,3.5721452884427516e-05,-6.4799341669182126e-06,-1.52262092256374e-05,-2.673942073234715e-05,-3.472392960449013e-07,4.1193001461507304e-07,9.132671954479694e-07,-1.3801539116583075e-05
