id,字形,方言點,聲母,韻母,調值,調類,備註
92,盅,太原,ts,uŋ,11,平,語料作「職容切」
93,崇,太原,tsʰ,uŋ,11,平,
106,戎,太原,z,uŋ,11,平,
114,絨,太原,z,uŋ,11,平,
115,弓,太原,k,uŋ,11,平,
117,躬,太原,k,uŋ,11,平,
119,宮,太原,k,uŋ,11,平,
121,融,太原,0,yuŋ,11,平,
125,雄,太原,ɕ,yuŋ,11,平,
126,熊,太原,ɕ,yuŋ,11,平,
140,窮,婁煩,tɕʰ,yə̃,22,平聲,
140,窮,太原,tɕʰ,yuŋ,11,平聲,
140,窮,清徐,tɕ/tɕʰ,yʌ̃/yʌ̃,11/11,平聲/平聲,白讀。文讀
140,窮,文水,tɕ/tɕʰ,yəŋ/yəŋ,22/22,平聲/平聲,白讀。文讀
140,窮,太谷,tɕ/tɕʰ,yũ/yũ,22/22,平聲/平聲,白讀。文讀
140,窮,祁縣,tɕ/tɕʰ,yũm/yũm,33/33,平聲/平聲,白讀。文讀
140,窮,平遙,tɕ/tɕʰ,yŋ/yŋ,13/13,平聲/平聲,
140,窮,孝義,tɕ/tɕʰ,yŋ/yŋ,11/11,平聲/平聲,白讀。文讀
140,窮,臨縣,tɕʰ,yəŋ,44,陽平,
140,窮,離石,tɕʰ,yəŋ,44,陽平,
140,窮,汾陽,tɕʰ,yəŋ,22,陽平,
140,窮,嵐縣,tɕʰ,yəŋ,55,陽平,
140,窮,石樓,tɕʰ,yŋ,44,陽平,
140,窮,隰縣,tɕʰ,yəŋ,24,陽平,
140,窮,汾西,tɕʰ,yəŋ,35,陽平,
140,窮,沁縣,tɕʰ,yŋ,55,去聲,
140,窮,平順,cʰ,yŋ,22,陽平,
140,窮,長治,tɕʰ,yŋ,24,陽平,
140,窮,長子,tɕʰ,yŋ,24,陽平,
140,窮,高平,tsʰ,uəŋ,33,平聲,
140,窮,陵川,cʰ,yŋ,53,陽平,
140,窮,朔州,tɕʰ,yə̃,35,陽平,
140,窮,代縣,tɕʰ,yəŋ,22,陽平,
140,窮,五寨,tɕʰ,ỹ,44,陽平,
140,窮,五台,tɕʰ,yəŋ,33,陽平,
140,窮,忻州,tɕʰ,yəŋ,31,陽平,
140,窮,天鎮,tɕʰ,yɤɣ,22,陽平,
140,窮,大同,tɕʰ,yəɣ,313,陽平,
140,窮,山陰,tɕʰ,yə̃,313,平聲,
140,窮,平定,tɕʰ,yəŋ,44,陽平,
140,窮,和順,tɕʰ,yəŋ,22,陽平,
140,窮,晉城,tɕʰ,ioŋ,213,陽平上,
