# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
14928,0,i,21,,0,i,22,陽上,ȵ,i,21,陽去,ŋ,i,213,陽平,ŋ,i,52,陽去,ȵ,i,33,陽去,,,,,,,,,,,,,,,,,,,,
14929,0,i,21,,0,i,22,陽上,ȵ,i,21,陽去,ŋ,i,213,陽平,ŋ,i,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
14932,0,i,35,陽去,0,i,22,陽上,ȵ,i,21,陽去,ŋ,i,33,陽去,ŋ,i,52,陽去,ȵ,i,33,陽去,n,u,21,陽去,ȵ,i,21,陽去,ŋ,i,22,陽去,ȵ,i,11,陽去,ȵ,i,33,陽去
14933,p,i,52,陰平,pʰ,i,22,陽上,p,i,54,陰上,p,ɛi,55,陰上,p,i,33,陰去,pʰ,ɯ,21,陰去,,,,,,,,,,,,,,,,,,,,
14943,ts,i,44,陰去,ts,i,22,陽上,tʃ,i,52,陰去,ts,i,52,陰去,ts,a,52,陽去,ts,ə,21,陰去,ts,ɿ,53,陰去,tʃ,i,53,陰去,tʃ,i,52,陰去,tʃ,i,53,陰去,ts,i,11,陰去
14944,ts,i,44,陰去,ts,i,22,陽上,tʃ,i,52,陰去,ts,i,52,陰去,ts,a,52,陽去,,,,,ts,ɿ,53,陰去,tʃ,i,53,陰去,tʃ,i,52,陰去,tʃ,i,53,陰去,ts,i,11,陰去
14959,s,i,44,陰去,s,i,22,陽上,h,i,52,陰去,x,i,52,陰去,s,ɿ,33,陰去,ɕ,i,21,陰去,kʰ,ɛi,53,陰去,h,i,53,陰去,kʰ,əi,52,陰去,kʰ,i,53,陰去,kʰ,Ai,11,陰去
14967,,,,,,,,,,,,,,,,,,,,,0,i,21,陰去,,,,,,,,,,,,,,,,,,,,
14970,s,u,44,陰去,tsʰ,ɿ,24,陰上,tʃʰ,i,52,陰去,tsʰ,i,52,陰去,tsʰ,ɿ,33,陰去,ɕ,i,55,陰入,,,,,,,,,,,,,,,,,,,,
14971,s,u,44,陰去,tsʰ,ɿ,24,陰上,tʃʰ,i,52,陰去,tsʰ,i,52,陰去,tsʰ,ɿ,33,陰去,,,,,,,,,,,,,,,,,,,,,,,,
14972,s,u,44,陰去,tsʰ,ɿ,24,陰上,tʃʰ,i,52,陰去,tsʰ,i,52,陰去,tsʰ,ɿ,33,陰去,,,,,,,,,,,,,,,,,,,,,,,,
14989,0,uɐi,44,陰去,0,uã,22,陽上,0,uai,52,陰去,0,ui,52,陰去,x,ua,55,陰上,,,,,,,,,,,,,,,,,,,,,,,,
