# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
3733,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,ts,ɿ,21,陰平,tʂ,æn,11,陰平,tɕ,ian,33,陰平
3753,0,iŋ,35,陰平,0,iɑ̃,31,陰平,0,ie,55,陰平,0,iɛi,21,陰平,0,iæn,11,陰平,0,in,33,陰平
3776,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɬ,e,55,陰平,ʃ,ɛi,21,陰平,s,æn,11,陰平,s,in,33,陰平
3794,ȵ,iŋ,42,陽平,0/n,iɑ̃,44,陽平,0/n,ie/e,44,陽平,0/ȵ,əɐ̆/iɛi,44,陽平,0,iæn,55,陽平,0,ian,42,陰去
3831,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛi,44,陽平,n,æn,55,陽平,l,in,42,陰去
3860,tɕʰ,iŋ,42,陽平,tɕʰ,iɑ̃,44,陽平,tɕʰ,ie,44,陽平,tsʰ,ɿ,44,陽平,tʂʰ,æn,55,陽平,tɕʰ,ian,42,陰去
3861,tɕʰ,iŋ,42,陽平,tɕʰ,iɑ̃,44,陽平,tɕʰ,ie,44,陽平,tsʰ,ɿ,44,陽平,tʂʰ,æn,55,陽平,tɕʰ,ian,42,陰去
3958,pʰ,iŋ,42,陽平,pʰ,iɑ̃,44,陽平,pʰ,ie,44,陽平,pʰ,ɛi,44,陽平,pʰ,æn,55,陽平,pʰ,in,42,陰去
3959,pʰ,iŋ,42,陽平,pʰ,iɑ̃,44,陽平,pʰ,ie,44,陽平,pʰ,ɛi,44,陽平,pʰ,æn,55,陽平,pʰ,in,42,陰去
4070,tɕʰ,yŋ,35,陰平,tɕʰ,yɑ̃,31,陰平,ɬʰ/tɕʰ,ɐ/ye,55,陰平,tsʰ,u,21,陰平,tɕʰ,yæn,11,陰平,tɕʰ,yn,33,陰平
4072,0,iŋ,42,陽平,0,yɑ̃,44,陽平,0,ye,44,陽平,0,yɛi,44,陽平,0,yæn,55,陽平,0,yn,42,陰去
4078,ɕ,iŋ,42,陽平,tsʰ,ɑ̃,44,陽平,ɬ,ye,44,陽平,tʃʰ,yɛi,44,陽平,tsʰ,æn,55,陽平,ɕ,yn,42,陰去
4092,tɕ,yŋ,35,陰平,tɕ,yɑ̃,31,陰平,tɕ,ye,55,陰平,tʃ,yɛi,21,陰平,tɕ,yæn,11,陰平,tɕ,yn,33,陰平
4141,m,əŋ,42,陽平,m/v,ɑ̃,44,陽平,v,ɐ,44,陽平,m,ɑŋ,44,陽平,m,æ̃,55,陽平,m,ɛ,42,陰去
4142,m,əŋ,42,陽平,m/v,ɑ̃,44,陽平,v,ɐ,44,陽平,m,ɑŋ,44,陽平,m,æ̃,55,陽平,m,ɛ,42,陰去
4143,m,əŋ,42,陽平,m/v,ɑ̃,44,陽平,v,ɐ,44,陽平,m,ɑŋ,44,陽平,m,æ̃,55,陽平,m,ɛ,42,陰去
4183,f,əŋ,42,陽平,f,ɑ̃,44,陽平,f,ɐ,44,陽平,f,ɑŋ,44,陽平,f,æ̃,55,陽平,f,ɛ,42,陰去
4219,f,əŋ,35,陰平,f,ɑ̃,31,陰平,f,ɐ,55,陰平,f,ɑŋ,21,陰平,f,æ̃,11,陰平,f,ɛ,33,陰平
4242,tɕ,yŋ,35,陰平,tɕ,yɑ̃,31,陰平,tɕ,ye,55,陰平,tʃ,yɛi,21,陰平,tɕ,yæn,11,陰平,tɕ,yn,33,陰平
4282,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,tʃ,ɛi,21,陰平,tɕ,iæn,11,陰平,tɕ,in,33,陰平
4299,0/v,yɪ/ɪ,42,陽平,0,yɛ̃i,44,陽平,n,yĔ,44,陽平,ȵ,yɐ̆,44,陽平,ȵ,ỹɐ̆,55,陽平,ȵ,yɐ̆,42,陰去
4422,ȵ,i,42,陽平,n,iɪ̃,44,陽平,n,iĔ,44,陽平,ȵ,iɐ̆,44,陽平,ȵ,iɐ̆,55,陽平,ȵ,iɐ̆,42,陰去
4515,m,əŋ,42,陽平,m,ɑ̃,44,陽平,m,ɐ,44,陽平,m,ɑŋ,44,陽平,m,æn,55,陽平,m,ɛ,42,陰去
4558,tʰ,e,42,陽平,tʰ,ɑ̃,44,陽平,t,ɐ,44,陽平,tʰ,uɑŋ,44,陽平,tʰ,ỹɐ̆,55,陽平,m,ɛ,42,陰去
4580,tsʰ,e,35,陰平,tsʰ,ɑ̃,31,陰平,tɬʰ,ɐ,55,陰平,tʃʰ,uɑŋ,21,陰平,tsʰ,ỹɐ̆,11,陰平,tsʰ,uɐ,33,陰平
4606,x,uəŋ,35,陰平,x,uɑ̃,31,陰平,x,uɐ,55,陰平,x,uɑŋ,21,陰平,x,uæ̃,11,陰平,x,ua,33,陰平
4623,ŋ,e,35,陰平,ŋ,ɑ̃,31,陰平,ŋ,iɐ,55,陰平,0,uɑŋ,21,陰平,v,æ̃,11,陰平,ŋ,ɛ,33,陰平
4626,tʰ,e,35,陰平,tʰ,ɑ̃,31,陰平,tʰ,ɐ,55,陰平,tʰ,uɑŋ,21,陰平,tʰ,ỹɐ̆,11,陰平,tʰ,in,33,陰平
4630,x,e,42,陽平,x,ɔ,44,陽平,x,ɑ,44,陽平,x,uɐ̆,44,陽平,x,ɔ̃,55,陽平,x,uɐ̆,42,陰去
4648,t,æ,35,陰平,t,ɔ,31,陰平,t,ɑ,55,陰平,t,ɔɐ̆,21,陰平,t,ɔ̃,11,陰平,t,ɔ,33,陰平
4660,l,æ,42,陽平,n,ɔ,44,陽平,n,ɑ,44,陽平,n,ɔɐ̆,44,陽平,n,ɔ̃,55,陽平,l,ɔ,42,陰去
