id,字形,攝,聲調,韻目,字母,開合,等第,清濁,上字,下字,又音,又切
475,容,通,平,鍾,以,合,三,次濁,餘,封,,
476,溶,通,平,鍾,以,合,三,次濁,餘,封,勇,
477,滽,通,平,鍾,以,合,三,次濁,餘,封,,
478,庸,通,平,鍾,以,合,三,次濁,餘,封,,
479,,通,平,鍾,以,合,三,次濁,餘,封,,
480,,通,平,鍾,以,合,三,次濁,餘,封,,
481,,通,平,鍾,以,合,三,次濁,餘,封,,
482,,通,平,鍾,以,合,三,次濁,餘,封,,
483,墉,通,平,鍾,以,合,三,次濁,餘,封,,
484,鎔,通,平,鍾,以,合,三,次濁,餘,封,,
485,鏞,通,平,鍾,以,合,三,次濁,餘,封,,
486,,通,平,鍾,以,合,三,次濁,餘,封,,
487,鄘,通,平,鍾,以,合,三,次濁,餘,封,,
488,傭,通,平,鍾,以,合,三,次濁,餘,封,,丑凶
489,,通,平,鍾,以,合,三,次濁,餘,封,,
490,,通,平,鍾,以,合,三,次濁,餘,封,,
491,,通,平,鍾,以,合,三,次濁,餘,封,,
492,,通,平,鍾,以,合,三,次濁,餘,封,慵,
493,蓉,通,平,鍾,以,合,三,次濁,餘,封,,
494,,通,平,鍾,以,合,三,次濁,餘,封,,
495,傛,通,平,鍾,以,合,三,次濁,餘,封,,余隴
496,褣,通,平,鍾,以,合,三,次濁,餘,封,,
497,,通,平,鍾,以,合,三,次濁,餘,封,,
498,瑢,通,平,鍾,以,合,三,次濁,餘,封,,
499,,通,平,鍾,以,合,三,次濁,餘,封,,
500,嵱,通,平,鍾,以,合,三,次濁,餘,封,,
501,頌,通,平,鍾,以,合,三,次濁,餘,封,,似用
502,,通,平,鍾,以,合,三,次濁,餘,封,,
503,,通,平,鍾,以,合,三,次濁,餘,封,,
504,,通,平,鍾,以,合,三,次濁,餘,封,,
505,,通,平,鍾,以,合,三,次濁,餘,封,,
506,,通,平,鍾,以,合,三,次濁,餘,封,,
507,槦,通,平,鍾,以,合,三,次濁,餘,封,,
508,,通,平,鍾,以,合,三,次濁,餘,封,,
509,,通,平,鍾,以,合,三,次濁,餘,封,,
510,封,通,平,鍾,非,合,三,全清,府,容,,方用
511,,通,平,鍾,非,合,三,全清,府,容,,巨王
512,犎,通,平,鍾,非,合,三,全清,府,容,,
513,葑,通,平,鍾,非,合,三,全清,府,容,,方用
514,崶,通,平,鍾,非,合,三,全清,府,容,,
515,,通,平,鍾,曉,合,三,次清,許,容,,
516,凶,通,平,鍾,曉,合,三,次清,許,容,,
517,,通,平,鍾,曉,合,三,次清,許,容,,
518,銎,通,平,鍾,曉,合,三,次清,許,容,,曲恭
519,洶,通,平,鍾,曉,合,三,次清,許,容,,許拱
520,恟,通,平,鍾,曉,合,三,次清,許,容,,
521,,通,平,鍾,曉,合,三,次清,許,容,,許拱
522,兇,通,平,鍾,曉,合,三,次清,許,容,,許拱
523,,通,平,鍾,曉,合,三,次清,許,容,,
524,匈,通,平,鍾,曉,合,三,次清,許,容,,
525,顒,通,平,鍾,疑,合,三,次濁,魚,容,,
526,,通,平,鍾,疑,合,三,次濁,魚,容,,
527,鰅,通,平,鍾,疑,合,三,次濁,魚,容,隅,
528,喁,通,平,鍾,疑,合,三,次濁,魚,容,,
529,邕,通,平,鍾,影,合,三,全清,於,容,,
530,雍,通,平,鍾,影,合,三,全清,於,容,,於用
531,噰,通,平,鍾,影,合,三,全清,於,容,,
532,嗈,通,平,鍾,影,合,三,全清,於,容,,
533,郺,通,平,鍾,影,合,三,全清,於,容,,烏孔
534,澭,通,平,鍾,影,合,三,全清,於,容,,
535,灉,通,平,鍾,影,合,三,全清,於,容,,於用
536,癰,通,平,鍾,影,合,三,全清,於,容,,
537,罋,通,平,鍾,影,合,三,全清,於,容,,烏貢
538,廱,通,平,鍾,影,合,三,全清,於,容,,
539,饔,通,平,鍾,影,合,三,全清,於,容,,
540,壅,通,平,鍾,影,合,三,全清,於,容,擁,
541,雝,通,平,鍾,影,合,三,全清,於,容,,
542,,通,平,鍾,影,合,三,全清,於,容,,
543,,通,平,鍾,影,合,三,全清,於,容,,
544,,通,平,鍾,影,合,三,全清,於,容,,
545,醲,通,平,鍾,娘,合,三,次濁,女,容,,
546,,通,平,鍾,娘,合,三,次濁,女,容,,奴動
547,濃,通,平,鍾,娘,合,三,次濁,女,容,,
548,襛,通,平,鍾,娘,合,三,次濁,女,容,,而容
549,穠,通,平,鍾,娘,合,三,次濁,女,容,,而容
550,,通,平,鍾,娘,合,三,次濁,女,容,,
551,,通,平,鍾,娘,合,三,次濁,女,容,,
552,,通,平,鍾,娘,合,三,次濁,女,容,,
553,重,通,平,鍾,澄,合,三,全濁,直,容,,丑凶/直勇/直用
554,穜,通,平,鍾,澄,合,三,全濁,直,容,,徒紅
555,緟,通,平,鍾,澄,合,三,全濁,直,容,,柱用
556,,通,平,鍾,澄,合,三,全濁,直,容,,尺容
557,,通,平,鍾,澄,合,三,全濁,直,容,,
558,蝩,通,平,鍾,澄,合,三,全濁,直,容,,
559,,通,平,鍾,澄,合,三,全濁,直,容,,丑凶
560,從,通,平,鍾,從,合,三,全濁,疾,容,,七恭/即容/秦用
561,,通,平,鍾,從,合,三,全濁,疾,容,,
562,,通,平,鍾,從,合,三,全濁,疾,容,,
563,,通,平,鍾,徹,合,三,次清,丑,凶,,職容/丑用
564,傭,通,平,鍾,徹,合,三,次清,丑,凶,容,
565,,通,平,鍾,徹,合,三,次清,丑,凶,,
566,,通,平,鍾,徹,合,三,次清,丑,凶,,
567,,通,平,鍾,徹,合,三,次清,丑,凶,,
568,,通,平,鍾,徹,合,三,次清,丑,凶,,直容
569,,通,平,鍾,徹,合,三,次清,丑,凶,,
570,逢,通,平,鍾,奉,合,三,全濁,符,容,,薄江
571,縫,通,平,鍾,奉,合,三,全濁,符,容,俸,
572,,通,平,鍾,奉,合,三,全濁,符,容,,
573,,通,平,鍾,奉,合,三,全濁,符,容,,
574,,通,平,鍾,奉,合,三,全濁,符,容,,
575,夆,通,平,鍾,奉,合,三,全濁,符,容,,敷恭
576,,通,平,鍾,奉,合,三,全濁,符,容,,
577,捀,通,平,鍾,奉,合,三,全濁,符,容,,符用
578,,通,平,鍾,敷,合,三,次清,敷,容,,
579,鋒,通,平,鍾,敷,合,三,次清,敷,容,,
580,丰,通,平,鍾,敷,合,三,次清,敷,容,,
581,,通,平,鍾,敷,合,三,次清,敷,容,,
582,,通,平,鍾,敷,合,三,次清,敷,容,,
583,妦,通,平,鍾,敷,合,三,次清,敷,容,,
584,,通,平,鍾,敷,合,三,次清,敷,容,,
585,蜂,通,平,鍾,敷,合,三,次清,敷,容,,薄江
586,,通,平,鍾,敷,合,三,次清,敷,容,,
587,蘴,通,平,鍾,敷,合,三,次清,敷,容,豐,
588,桻,通,平,鍾,敷,合,三,次清,敷,容,,
589,,通,平,鍾,敷,合,三,次清,敷,容,,
590,烽,通,平,鍾,敷,合,三,次清,敷,容,,
591,,通,平,鍾,敷,合,三,次清,敷,容,,
592,,通,平,鍾,敷,合,三,次清,敷,容,,
593,,通,平,鍾,敷,合,三,次清,敷,容,,
594,夆,通,平,鍾,敷,合,三,次清,敷,恭,,符容
595,縱,通,平,鍾,精,合,三,全清,即,容,,子用
596,,通,平,鍾,精,合,三,全清,即,容,,
597,蹤,通,平,鍾,精,合,三,全清,即,容,,
598,,通,平,鍾,精,合,三,全清,即,容,,
599,樅,通,平,鍾,精,合,三,全清,即,容,,七恭
600,,通,平,鍾,精,合,三,全清,即,容,,
601,豵,通,平,鍾,精,合,三,全清,即,容,,子紅
602,熧,通,平,鍾,精,合,三,全清,即,容,,
603,,通,平,鍾,精,合,三,全清,即,容,,此從
604,茸,通,平,鍾,日,合,三,次濁,而,容,,而隴
605,,通,平,鍾,日,合,三,次濁,而,容,,而用
606,,通,平,鍾,日,合,三,次濁,而,容,,
607,,通,平,鍾,日,合,三,次濁,而,容,,
608,襛,通,平,鍾,日,合,三,次濁,而,容,,女容
609,穠,通,平,鍾,日,合,三,次濁,而,容,,女容
610,,通,平,鍾,日,合,三,次濁,而,容,,而隴
611,,通,平,鍾,日,合,三,次濁,而,容,,
612,榵,通,平,鍾,日,合,三,次濁,而,容,,
613,,通,平,鍾,日,合,三,次濁,而,容,,而隴
614,蛩,通,平,鍾,羣,合,三,全濁,渠,容,,
615,邛,通,平,鍾,羣,合,三,全濁,渠,容,,
616,舼,通,平,鍾,羣,合,三,全濁,渠,容,,
617,,通,平,鍾,羣,合,三,全濁,渠,容,,
618,笻,通,平,鍾,羣,合,三,全濁,渠,容,,
619,輁,通,平,鍾,羣,合,三,全濁,渠,容,拱,
620,,通,平,鍾,羣,合,三,全濁,渠,容,,
621,,通,平,鍾,羣,合,三,全濁,渠,容,,曲恭/去宮
622,,通,平,鍾,羣,合,三,全濁,渠,容,,居勇
623,蛬,通,平,鍾,羣,合,三,全濁,渠,容,拱,
624,,通,平,鍾,羣,合,三,全濁,渠,容,,
625,,通,平,鍾,羣,合,三,全濁,渠,容,,
626,桏,通,平,鍾,羣,合,三,全濁,渠,容,,
627,,通,平,鍾,羣,合,三,全濁,渠,容,,巨壠
628,,通,平,鍾,羣,合,三,全濁,渠,容,,
629,,通,平,鍾,羣,合,三,全濁,渠,容,,
630,,通,平,鍾,禪,合,三,全濁,蜀,庸,庸,
631,慵,通,平,鍾,禪,合,三,全濁,蜀,庸,,
632,,通,平,鍾,禪,合,三,全濁,蜀,庸,,
633,恭,通,平,鍾,見,合,三,全清,九,容,,
634,龔,通,平,鍾,見,合,三,全清,九,容,,
635,供,通,平,鍾,見,合,三,全清,九,容,,居用
636,珙,通,平,鍾,見,合,三,全清,九,容,拱,
637,,通,平,鍾,見,合,三,全清,九,容,,
638,共,通,平,鍾,見,合,三,全清,九,容,,渠用
639,,通,平,鍾,見,合,三,全清,九,容,,
640,廾,通,平,鍾,見,合,三,全清,九,容,,居悚
641,,通,平,鍾,見,合,三,全清,九,容,,
642,,通,平,鍾,見,合,三,全清,九,容,,
643,,通,平,鍾,見,合,三,全清,九,容,,居用
644,蜙,通,平,鍾,心,合,三,全清,息,恭,,
645,淞,通,平,鍾,心,合,三,全清,息,恭,松,
646,,通,平,鍾,心,合,三,全清,息,恭,,祥容/蘇弄
647,鬆,通,平,鍾,心,合,三,全清,息,恭,,蘇弄/七恭/私宗
648,倯,通,平,鍾,心,合,三,全清,息,恭,,
649,,通,平,鍾,心,合,三,全清,息,恭,,
650,樅,通,平,鍾,清,合,三,次清,七,恭,蹤,
651,鏦,通,平,鍾,清,合,三,次清,七,恭,窗,
652,從,通,平,鍾,清,合,三,次清,七,恭,,疾容/即容/秦用
653,暰,通,平,鍾,清,合,三,次清,七,恭,,
654,,通,平,鍾,清,合,三,次清,七,恭,,子紅
655,瑽,通,平,鍾,清,合,三,次清,七,恭,,
656,摐,通,平,鍾,清,合,三,次清,七,恭,窗,
657,,通,平,鍾,清,合,三,次清,七,恭,,
658,,通,平,鍾,清,合,三,次清,七,恭,,
659,,通,平,鍾,清,合,三,次清,七,恭,蹤,
660,鬆,通,平,鍾,清,合,三,次清,七,恭,,私宗/蘇弄/息恭
661,,通,平,鍾,清,合,三,次清,七,恭,,
662,銎,通,平,鍾,溪,合,三,次清,曲,恭,,許容
663,,通,平,鍾,溪,合,三,次清,曲,恭,,去宮/渠容
664,江,江,平,江,見,開,二,全清,古,雙,,
665,扛,江,平,江,見,開,二,全清,古,雙,,
666,杠,江,平,江,見,開,二,全清,古,雙,,
667,茳,江,平,江,見,開,二,全清,古,雙,,
668,釭,江,平,江,見,開,二,全清,古,雙,工,古冬
669,矼,江,平,江,見,開,二,全清,古,雙,,
670,豇,江,平,江,見,開,二,全清,古,雙,,
671,肛,江,平,江,見,開,二,全清,古,雙,,許江
672,玒,江,平,江,見,開,二,全清,古,雙,工,
673,,江,平,江,見,開,二,全清,古,雙,,職容
674,,江,平,江,見,開,二,全清,古,雙,,
675,厖,江,平,江,明,開,二,次濁,莫,江,,
676,駹,江,平,江,明,開,二,次濁,莫,江,,
677,,江,平,江,明,開,二,次濁,莫,江,,
678,尨,江,平,江,明,開,二,次濁,莫,江,,
679,,江,平,江,明,開,二,次濁,莫,江,,
680,哤,江,平,江,明,開,二,次濁,莫,江,,
681,牻,江,平,江,明,開,二,次濁,莫,江,,
682,娏,江,平,江,明,開,二,次濁,莫,江,,
683,,江,平,江,明,開,二,次濁,莫,江,,
684,,江,平,江,明,開,二,次濁,莫,江,,
685,蛖,江,平,江,明,開,二,次濁,莫,江,,
686,,江,平,江,明,開,二,次濁,莫,江,,
687,痝,江,平,江,明,開,二,次濁,莫,江,,
688,,江,平,江,明,開,二,次濁,莫,江,,武項
689,,江,平,江,娘,開,二,次濁,女,江,,
690,,江,平,江,娘,開,二,次濁,女,江,,
691,涳,江,平,江,娘,開,二,次濁,女,江,腔,苦紅
692,噥,江,平,江,娘,開,二,次濁,女,江,,奴冬
693,,江,平,江,娘,開,二,次濁,女,江,,奴冬
694,鬞,江,平,江,娘,開,二,次濁,女,江,,
695,,江,平,江,娘,開,二,次濁,女,江,,
696,,江,平,江,娘,開,二,次濁,女,江,,
697,囪,江,平,江,初,開,二,次清,楚,江,,倉紅
698,,江,平,江,初,開,二,次清,楚,江,,
699,,江,平,江,初,開,二,次清,楚,江,,
700,,江,平,江,初,開,二,次清,楚,江,,
701,,江,平,江,初,開,二,次清,楚,江,,楚絳
702,,江,平,江,初,開,二,次清,楚,江,,子紅
703,摐,江,平,江,初,開,二,次清,楚,江,,七恭
704,鏦,江,平,江,初,開,二,次清,楚,江,,七恭
705,,江,平,江,初,開,二,次清,楚,江,,
706,邦,江,平,江,幫,開,二,全清,博,江,,
707,,江,平,江,幫,開,二,全清,博,江,,
708,梆,江,平,江,幫,開,二,全清,博,江,,
709,垹,江,平,江,幫,開,二,全清,博,江,,
710,,江,平,江,匣,開,二,全濁,下,江,,
711,,江,平,江,匣,開,二,全濁,下,江,,
712,降,江,平,江,匣,開,二,全濁,下,江,,古巷
713,缸,江,平,江,匣,開,二,全濁,下,江,,
714,瓨,江,平,江,匣,開,二,全濁,下,江,,
715,洚,江,平,江,匣,開,二,全濁,下,江,,戶公/戶冬/古巷
716,,江,平,江,匣,開,二,全濁,下,江,,
717,,江,平,江,匣,開,二,全濁,下,江,,
718,,江,平,江,滂,開,二,次清,匹,江,龐,
719,,江,平,江,滂,開,二,次清,匹,江,,
720,,江,平,江,滂,開,二,次清,匹,江,,薄江/薄紅
721,,江,平,江,滂,開,二,次清,匹,江,,
722,,江,平,江,滂,開,二,次清,匹,江,,
723,瀧,江,平,江,來,開,二,次濁,呂,江,雙,盧紅
724,,江,平,江,來,開,二,次濁,呂,江,,薄紅
725,雙,江,平,江,生,開,二,全清,所,江,,
726,艭,江,平,江,生,開,二,全清,所,江,,
727,,江,平,江,生,開,二,全清,所,江,,
728,,江,平,江,生,開,二,全清,所,江,,息拱
729,,江,平,江,生,開,二,全清,所,江,,
730,瀧,江,平,江,生,開,二,全清,所,江,,盧紅/呂江
731,,江,平,江,生,開,二,全清,所,江,,
732,龐,江,平,江,並,開,二,全濁,薄,江,,
733,逄,江,平,江,並,開,二,全濁,薄,江,,符容
734,,江,平,江,並,開,二,全濁,薄,江,,匹江
735,,江,平,江,並,開,二,全濁,薄,江,,薄紅/匹江
736,舽,江,平,江,並,開,二,全濁,薄,江,,
737,肛,江,平,江,曉,開,二,次清,許,江,,古雙
738,,江,平,江,曉,開,二,次清,許,江,,
739,谾,江,平,江,曉,開,二,次清,許,江,,呼東
740,舡,江,平,江,曉,開,二,次清,許,江,,
741,胦,江,平,江,影,開,二,全清,握,江,,於良
742,腔,江,平,江,溪,開,二,次清,苦,江,,
743,,江,平,江,溪,開,二,次清,苦,江,,
744,,江,平,江,溪,開,二,次清,苦,江,,
745,控,江,平,江,溪,開,二,次清,苦,江,,苦貢
746,椌,江,平,江,溪,開,二,次清,苦,江,,苦紅
747,悾,江,平,江,溪,開,二,次清,苦,江,空,苦貢
748,跫,江,平,江,溪,開,二,次清,苦,江,,
749,涳,江,平,江,溪,開,二,次清,苦,江,,苦紅/女江
750,崆,江,平,江,溪,開,二,次清,苦,江,空,
751,,江,平,江,溪,開,二,次清,苦,江,,
752,,江,平,江,溪,開,二,次清,苦,江,,
753,,江,平,江,溪,開,二,次清,苦,江,,苦岡
754,幢,江,平,江,澄,開,二,全濁,宅,江,,直絳
755,撞,江,平,江,澄,開,二,全濁,宅,江,,直絳
756,橦,江,平,江,澄,開,二,全濁,宅,江,童/鐘,
757,,江,平,江,澄,開,二,全濁,宅,江,,丑善/陟陵
758,,江,平,江,澄,開,二,全濁,宅,江,,
759,,江,平,江,澄,開,二,全濁,宅,江,,
760,憃,江,平,江,徹,開,二,次清,丑,江,,書容/抽用/丑龍
761,,江,平,江,徹,開,二,次清,丑,江,,丑巷
762,,江,平,江,徹,開,二,次清,丑,江,,
763,,江,平,江,徹,開,二,次清,丑,江,,
764,,江,平,江,徹,開,二,次清,丑,江,,
765,樁,江,平,江,知,開,二,全清,都,江,,
766,,江,平,江,知,開,二,全清,都,江,,
767,,江,平,江,疑,開,二,次濁,五,江,,五東/盧紅
768,淙,江,平,江,崇,開,二,全濁,士,江,,色絳/才宗
769,鬃,江,平,江,崇,開,二,全濁,士,江,,藏宗
770,,江,平,江,崇,開,二,全濁,士,江,,藏宗
771,,江,平,江,崇,開,二,全濁,士,江,,
772,支,止,平,支,章,開,三,全清,章,移,,
773,,止,平,支,章,開,三,全清,章,移,,
774,只,止,平,支,章,開,三,全清,章,移,,之爾
775,汥,止,平,支,章,開,三,全清,章,移,,巨支/奇寄
776,,止,平,支,章,開,三,全清,章,移,,
777,卮,止,平,支,章,開,三,全清,章,移,,
778,,止,平,支,章,開,三,全清,章,移,,
779,枝,止,平,支,章,開,三,全清,章,移,,渠羈
780,祇,止,平,支,章,開,三,全清,章,移,,巨支
781,,止,平,支,章,開,三,全清,章,移,,
782,衼,止,平,支,章,開,三,全清,章,移,,
783,肢,止,平,支,章,開,三,全清,章,移,,
784,胑,止,平,支,章,開,三,全清,章,移,,
785,,止,平,支,章,開,三,全清,章,移,,
786,禔,止,平,支,章,開,三,全清,章,移,,是支/杜奚
787,,止,平,支,章,開,三,全清,章,移,,巨支/居企/施智
788,氏,止,平,支,章,開,三,全清,章,移,精/是,
789,疻,止,平,支,章,開,三,全清,章,移,,旨夷
790,,止,平,支,章,開,三,全清,章,移,寘,
791,鳷,止,平,支,章,開,三,全清,章,移,,
792,,止,平,支,章,開,三,全清,章,移,,施智
793,觶,止,平,支,章,開,三,全清,章,移,寘,
794,榰,止,平,支,章,開,三,全清,章,移,,
795,,止,平,支,章,開,三,全清,章,移,,
796,,止,平,支,章,開,三,全清,章,移,,
797,,止,平,支,章,開,三,全清,章,移,,
798,眵,止,平,支,章,開,三,全清,章,移,,尺支
799,,止,平,支,章,開,三,全清,章,移,,
800,,止,平,支,章,開,三,全清,章,移,,
801,移,止,平,支,以,開,三,次濁,弋,支,,
802,,止,平,支,以,開,三,次濁,弋,支,,
803,迻,止,平,支,以,開,三,次濁,弋,支,,
804,,止,平,支,以,開,三,次濁,弋,支,,
805,杝,止,平,支,以,開,三,次濁,弋,支,,敕豸/池爾
806,鉹,止,平,支,以,開,三,次濁,弋,支,侈,
807,袲,止,平,支,以,開,三,次濁,弋,支,侈,奴可
808,箷,止,平,支,以,開,三,次濁,弋,支,,
809,椸,止,平,支,以,開,三,次濁,弋,支,,
810,,止,平,支,以,開,三,次濁,弋,支,,而爾
811,詑,止,平,支,以,開,三,次濁,弋,支,,徒河/土禾/香支/徒可
812,簃,止,平,支,以,開,三,次濁,弋,支,池,
813,,止,平,支,以,開,三,次濁,弋,支,,
814,熪,止,平,支,以,開,三,次濁,弋,支,,
815,,止,平,支,以,開,三,次濁,弋,支,,
816,衪,止,平,支,以,開,三,次濁,弋,支,,移爾
817,暆,止,平,支,以,開,三,次濁,弋,支,,
818,迆,止,平,支,以,開,三,次濁,弋,支,,移爾
819,,止,平,支,以,開,三,次濁,弋,支,,
820,栘,止,平,支,以,開,三,次濁,弋,支,,移爾/成兮
821,歋,止,平,支,以,開,三,次濁,弋,支,,以遮
822,酏,止,平,支,以,開,三,次濁,弋,支,,羊氏
823,匜,止,平,支,以,開,三,次濁,弋,支,,羊氏
824,拸,止,平,支,以,開,三,次濁,弋,支,,移爾
825,謻,止,平,支,以,開,三,次濁,弋,支,,直離
826,,止,平,支,以,開,三,次濁,弋,支,,
827,蛇,止,平,支,以,開,三,次濁,弋,支,,神遮/託何
828,,止,平,支,以,開,三,次濁,弋,支,,食遮/羊者
829,螔,止,平,支,以,開,三,次濁,弋,支,,息移
830,,止,平,支,以,開,三,次濁,弋,支,,
831,,止,平,支,以,開,三,次濁,弋,支,,
832,,止,平,支,以,開,三,次濁,弋,支,,
833,,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,王偽
834,為,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,
835,溈,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,居為
836,,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,許為/王詭
837,鄬,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,韋委
838,,止,平,支,云,開（合）,三,次濁,薳,支 （為 ）,,許為
839,媯,止,平,支,見,合,三,全清,居,為,,
840,溈,止,平,支,見,合,三,全清,居,為,為,
841,,止,平,支,曉,合,三,次清,許,為,,
842,麾,止,平,支,曉,合,三,次清,許,為,,
843,噅,止,平,支,曉,合,三,次清,許,為,,
844,撝,止,平,支,曉,合,三,次清,許,為,,
845,,止,平,支,曉,合,三,次清,許,為,為,
846,,止,平,支,曉,合,三,次清,許,為,,薳支/韋委
847,逶,止,平,支,影,合,三,全清,於,為,,
848,,止,平,支,影,合,三,全清,於,為,,於偽
849,萎,止,平,支,影,合,三,全清,於,為,,於偽
850,,止,平,支,影,合,三,全清,於,為,,
851,覣,止,平,支,影,合,三,全清,於,為,,
852,蜲,止,平,支,影,合,三,全清,於,為,,於詭
853,痿,止,平,支,影,合,三,全清,於,為,,人垂
854,倭,止,平,支,影,合,三,全清,於,為,,烏果/烏禾
855,委,止,平,支,影,合,三,全清,於,為,,於詭
856,,止,平,支,影,合,三,全清,於,為,,
857,蟡,止,平,支,影,合,三,全清,於,為,,過委
858,糜,止,平,支,明,開,三,次濁,靡,為,,
859,縻,止,平,支,明,開,三,次濁,靡,為,,
860,,止,平,支,明,開,三,次濁,靡,為,,
861,,止,平,支,明,開,三,次濁,靡,為,,
862,蘼,止,平,支,明,開,三,次濁,靡,為,,亡彼
